Team,3P%,2P%,FT%,3P% Defense,2P% Defense
Atlanta Hawks,0.36,0.495,0.785,0.377,0.52
Boston Celtics,0.377,0.491,0.771,0.339,0.488
Brooklyn Nets,0.356,0.5,0.772,0.369,0.503
Charlotte Hornets,0.369,0.487,0.747,0.375,0.516
Chicago Bulls,0.355,0.478,0.758,0.37,0.534
Cleveland Cavaliers,0.372,0.54,0.779,0.368,0.533
Dallas Mavericks,0.36,0.496,0.763,0.363,0.526
Denver Nuggets,0.371,0.525,0.766,0.378,0.525
Detroit Pistons,0.373,0.488,0.745,0.359,0.515
Golden State Warriors,0.391,0.56,0.815,0.357,0.49
Houston Rockets,0.362,0.558,0.781,0.351,0.519
Indiana Pacers,0.369,0.513,0.779,0.349,0.53
Los Angeles Clippers,0.354,0.525,0.743,0.356,0.512
Los Angeles Lakers,0.345,0.517,0.714,0.346,0.512
Memphis Grizzlies,0.352,0.486,0.786,0.368,0.516
Miami Heat,0.36,0.508,0.755,0.36,0.491
Milwaukee Bucks,0.355,0.531,0.782,0.372,0.513
Minnesota Timberwolves,0.357,0.519,0.804,0.366,0.534
New Orleans Pelicans,0.362,0.54,0.772,0.355,0.503
New York Knicks,0.352,0.504,0.787,0.368,0.505
Oklahoma City Thunder,0.354,0.505,0.715,0.367,0.511
Orlando Magic,0.351,0.504,0.757,0.362,0.516
Philadelphia 76ers,0.369,0.526,0.752,0.342,0.482
Phoenix Suns,0.334,0.492,0.74,0.373,0.519
Portland Trail Blazers,0.366,0.493,0.8,0.364,0.484
Sacramento Kings,0.375,0.479,0.735,0.377,0.527
San Antonio Spurs,0.352,0.499,0.772,0.348,0.501
Toronto Raptors,0.358,0.541,0.794,0.357,0.486
Utah Jazz,0.366,0.515,0.779,0.365,0.488
Washington Wizards,0.375,0.508,0.772,0.349,0.522